target_context_score,target_organism_score,phage_origin_score,docking_support_score,solubility_no_chaperone_score,E6_5_solubility_aggregation_chaperone_score,curated_no_external_chaperone_required_strength,curated_soluble_expression_strength,global_engineering_residual_score
0.525000,0.400000,0.650000,0.341972,0.578082,0.963470,0.000000,0.000000,0.810302
0.525000,0.400000,0.650000,0.369758,0.553846,0.923077,0.000000,0.000000,0.791861
0.525000,0.400000,0.650000,0.353971,0.565178,0.941964,0.000000,0.000000,0.808718
0.425000,0.750000,0.100000,0.657029,0.541741,0.902902,0.000000,0.000000,0.782701
0.525000,0.400000,0.650000,0.411874,0.508928,0.848214,0.000000,0.000000,0.786404
0.525000,0.400000,0.650000,0.356070,0.560870,0.934783,0.000000,0.000000,0.793002
0.525000,0.400000,0.650000,0.483363,0.435338,0.725564,0.000000,0.000000,0.784413
0.525000,0.400000,0.650000,0.379577,0.546787,0.911311,0.000000,0.000000,0.742926
0.525000,0.400000,0.650000,0.408676,0.506796,0.844660,0.000000,0.000000,0.785278
0.525000,0.400000,0.650000,0.453722,0.459375,0.765625,0.000000,0.000000,0.781084
0.525000,0.400000,0.650000,0.348075,0.560593,0.934322,0.000000,0.000000,0.791592
0.425000,0.750000,0.100000,0.646304,0.534518,0.890863,0.000000,0.000000,0.773842
0.525000,0.400000,0.650000,0.340090,0.562048,0.936747,0.000000,0.000000,0.785600
0.525000,0.400000,0.650000,0.441651,0.459375,0.765625,0.000000,0.000000,0.779072
0.525000,0.400000,0.650000,0.329812,0.567391,0.945652,0.000000,0.000000,0.790437
0.525000,0.400000,0.650000,0.383997,0.515909,0.859848,0.000000,0.000000,0.775363
0.525000,0.400000,0.650000,0.329324,0.579087,0.965145,0.000000,0.000000,0.737068
0.525000,0.400000,0.650000,0.381667,0.512069,0.853449,0.000000,0.000000,0.788777
0.525000,0.400000,0.650000,0.322643,0.582692,0.971153,0.000000,0.000000,0.736956
0.525000,0.400000,0.650000,0.319179,0.570259,0.950431,0.000000,0.000000,0.797794
0.425000,0.750000,0.100000,0.633123,0.534146,0.890244,0.000000,0.000000,0.784940
0.525000,0.400000,0.650000,0.454929,0.437109,0.728515,0.000000,0.000000,0.780165
0.425000,0.750000,0.100000,0.614394,0.552717,0.921195,0.000000,0.000000,0.771454
0.425000,0.750000,0.100000,0.572095,0.580095,0.966825,0.000000,0.000000,0.827483
0.525000,0.400000,0.650000,0.342377,0.549671,0.916118,0.000000,0.000000,0.761138
0.425000,0.750000,0.100000,0.613080,0.552244,0.920406,0.000000,0.000000,0.764895
0.525000,0.400000,0.650000,0.333026,0.552370,0.920617,0.000000,0.000000,0.783205
0.525000,0.400000,0.650000,0.344979,0.566827,0.944712,0.000000,0.000000,0.671893
0.425000,0.750000,0.100000,0.627214,0.532895,0.888158,0.000000,0.000000,0.772006
0.525000,0.400000,0.650000,0.306340,0.570259,0.950431,0.000000,0.000000,0.795655
0.425000,0.750000,0.100000,0.583928,0.564228,0.940380,0.000000,0.000000,0.801437
0.525000,0.400000,0.650000,0.357944,0.521831,0.869719,0.000000,0.000000,0.772339
0.425000,0.750000,0.100000,0.605372,0.549549,0.915915,0.000000,0.000000,0.761064
0.525000,0.400000,0.650000,0.302606,0.580723,0.967871,0.000000,0.000000,0.741403
0.525000,0.400000,0.650000,0.365417,0.505714,0.842857,0.000000,0.000000,0.784304
0.425000,0.750000,0.100000,0.595138,0.551260,0.918767,0.000000,0.000000,0.776174
0.550000,1.000000,0.100000,0.267749,0.529310,0.882184,0.000000,0.000000,0.774580
0.525000,0.400000,0.650000,0.430679,0.436184,0.726973,0.000000,0.000000,0.769331
0.525000,0.400000,0.650000,0.344701,0.521591,0.869319,0.000000,0.000000,0.770392
0.425000,0.750000,0.100000,0.610509,0.531646,0.886077,0.000000,0.000000,0.763810
0.525000,0.400000,0.650000,0.319002,0.566827,0.944712,0.000000,0.000000,0.687171
0.425000,0.750000,0.100000,0.558221,0.563794,0.939656,0.000000,0.000000,0.835839
0.425000,0.750000,0.100000,0.581580,0.554851,0.924751,0.000000,0.000000,0.777035
0.425000,0.750000,0.100000,0.578918,0.561222,0.935370,0.000000,0.000000,0.761695
0.525000,0.400000,0.650000,0.315097,0.549671,0.916118,0.000000,0.000000,0.756591
